dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003610,22.000000,0.003750,0.149983,2.999664,59.993271,0.000000
0.050000,0.014858,22.000000,0.014998,0.224975,1.499832,-29.996636,0.000000
0.050000,0.033606,22.000000,0.033746,0.374958,2.999664,29.996636,0.000000
0.050000,0.059853,22.000000,0.059993,0.524941,2.999664,0.000000,0.000000
0.050000,0.093599,22.000000,0.093739,0.674924,2.999664,0.000000,0.000000
0.050000,0.134845,22.000000,0.134985,0.824907,2.999664,-0.000000,0.000000
0.050000,0.183589,22.000000,0.183729,0.974891,2.999664,0.000000,0.000000
0.050000,0.239833,22.000000,0.239973,1.124874,2.999664,-0.000000,0.000000
0.050000,0.303576,22.000000,0.303716,1.274857,2.999664,0.000000,0.000000
0.050000,0.374818,22.000000,0.374958,1.424840,2.999664,0.000000,0.000000
0.050000,0.453559,22.000000,0.453699,1.574823,2.999664,-0.000000,0.000000
0.050000,0.539799,22.000000,0.539939,1.724807,2.999664,-0.000000,0.000000
0.050000,0.633539,22.000000,0.633679,1.874790,2.999664,0.000000,0.000000
0.050000,0.734778,22.000000,0.734918,2.024773,2.999664,-0.000000,0.000000
0.050000,0.843515,22.000000,0.843655,2.174756,2.999664,-0.000000,0.000000
0.050000,0.959752,22.000000,0.959892,2.324739,2.999664,0.000000,0.000000
0.050000,1.083488,22.000000,1.083628,2.474722,2.999664,-0.000000,0.000000
0.050000,1.214724,22.000000,1.214864,2.624706,2.999664,-0.000000,0.000000
0.050000,1.353458,22.000000,1.353598,2.774689,2.999664,-0.000000,0.000000
0.050000,1.499692,22.000000,1.499832,2.924672,2.999664,0.000000,0.000000
0.050000,1.653425,22.000000,1.653565,3.074655,2.999664,-0.000000,0.000000
0.050000,1.814656,22.000000,1.814796,3.224638,2.999664,-0.000000,0.000000
0.050000,1.983388,22.000000,1.983528,3.374622,2.999664,-0.000000,0.000000
0.050000,2.159618,22.000000,2.159758,3.524605,2.999664,0.000000,0.000000
0.050000,2.343347,22.000000,2.343487,3.674588,2.999664,0.000000,0.000000
0.050000,2.534576,22.000000,2.534716,3.824571,2.999664,-0.000000,0.000000
0.050000,2.733303,22.000000,2.733443,3.974554,2.999664,0.000000,0.000000
0.050000,2.939530,22.000000,2.939670,4.124537,2.999664,-0.000000,0.000000
0.050000,3.153256,22.000000,3.153396,4.274521,2.999664,0.000000,0.000000
0.050000,3.374482,22.000000,3.374622,4.424504,2.999664,-0.000000,0.000000
0.050000,3.603206,22.000000,3.603346,4.574487,2.999664,0.000000,0.000000
0.050000,3.839429,22.000000,3.839569,4.724470,2.999664,0.000000,0.000000
0.050000,4.083152,22.000000,4.083292,4.874453,2.999664,0.000000,0.000000
0.050000,4.334374,22.000000,4.334514,5.024436,2.999664,-0.000000,0.000000
0.050000,4.593095,22.000000,4.593235,5.174420,2.999664,0.000000,0.000000
0.050000,4.859315,22.000000,4.859455,5.324403,2.999664,-0.000000,0.000000
0.050000,5.133034,22.000000,5.133174,5.474386,2.999664,0.000000,0.000000
